;NAME;;PSRJ;;P0;;;P1;;;DIST;EDOT;BSURF_I;
;;;;;(s);;;;;;(kpc);(ergs/s);(G);
1;J0002+6216;cwp+17;J0002+6216;cwp+17;0.1153635682680;1.4e-12;cwp+17;5.96703E-15;7.0e-20;cwp+17;6.357;1.5e+35;*;
2;J0006+1834;cnt96;J0006+1834;cnt96;0.69374767047;1.4e-10;cn95;2.097E-15;1.2e-17;cn95;0.860;2.5e+32;*;
3;J0007+7303;aaa+09c;J0007+7303;aaa+09c;0.3158731909;3.0e-10;awd+12;3.6039E-13;5.0e-17;awd+12;1.400;4.5e+35;*;
4;J0011+08;dsm+16;J0011+08;dsm+16;2.55287;0;dsm+16;*;0;*;5.399;*;*;
5;B0011+47;dth78;J0014+4746;dth78;1.240699038946;1.1e-11;hlk+04;5.6446E-16;1.4e-19;hlk+04;1.776;1.2e+31;8.44e+11;
6;J0021-0909;clh+20;J0021-0909;clh+20;2.31413082909;1.7e-10;clh+20;1.039E-15;1.7e-17;clh+20;25.000;3.3e+30;*;
7;J0023+0923;hrm+11;J0023+0923;hrm+11;0.003050203104754390;4.0e-18;aab+21a;1.142345E-20;1.4e-25;aab+21a;1.818;1.6e+34;1.66e+08;
8;J0024-7204aa;phl+16;J0024-7204aa;phl+16;0.00184;0;phl+16;*;0;*;2.688;*;*;
9;J0024-7204ab;phl+16;J0024-7204ab;phl+16;0.0037046394947985;6.0e-16;frk+17;9.820E-21;9.0e-24;frk+17;2.540;7.6e+33;1.87e+08;
10;J0024-7204ac;rgf+21;J0024-7204ac;rgf+21;0.00274;0;rgf+21;*;0;*;4.690;*;*;
11;J0024-7204ad;rgf+21;J0024-7204ad;rgf+21;0.00374;0;rgf+21;*;0;*;4.690;*;*;
12;B0021-72C;mld+90;J0024-7204C;mld+90;0.00575677999551635;1.4e-16;frk+17;-4.98503E-20;2.0e-24;frk+17;4.690;*;-nan;
13;B0021-72D;mlr+91;J0024-7204D;mlr+91;0.00535757328486573;9.0e-17;frk+17;-3.4220E-21;9.0e-25;frk+17;4.690;*;-nan;
14;B0021-72E;mlr+91;J0024-7204E;mlr+91;0.00353632915276244;4.0e-17;frk+17;9.85103E-20;6.0e-25;frk+17;4.690;8.8e+34;5.92e+08;
15;B0021-72F;mlr+91;J0024-7204F;mlr+91;0.00262357935251262;4.0e-17;frk+17;6.45029E-20;7.0e-25;frk+17;4.690;1.4e+35;4.14e+08;
16;B0021-72G;rlm+95;J0024-7204G;rlm+95;0.00404037914356515;1.4e-16;frk+17;-4.21584E-20;1.7e-24;frk+17;4.690;*;-nan;
17;B0021-72H;mlr+91;J0024-7204H;mlr+91;0.00321034070935032;1.1e-16;frk+17;-1.8294E-21;1.1e-24;frk+17;4.690;*;-nan;
18;B0021-72I;mlr+91;J0024-7204I;mlr+91;0.00348499206166289;1.3e-16;frk+17;-4.5874E-20;3.0e-24;frk+17;4.690;*;-nan;
19;B0021-72J;mlr+91;J0024-7204J;mlr+91;0.00210063354535246;5.0e-17;frk+17;-9.7917E-21;9.0e-25;frk+17;4.690;*;-nan;
20;B0021-72L;rlm+95;J0024-7204L;rlm+95;0.0043461679994616;4.0e-16;frk+17;-1.22045E-19;4.0e-24;frk+17;4.690;*;-nan;
21;B0021-72M;mlr+91;J0024-7204M;mlr+91;0.0036766432176002;3.0e-16;frk+17;-3.8419E-20;6.0e-24;frk+17;4.690;*;-nan;
22;B0021-72N;rlm+95;J0024-7204N;rlm+95;0.00305395434626085;1.0e-16;frk+17;-2.18570E-20;1.9e-24;frk+17;4.690;*;-nan;
